CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
02.508.235/0001-14;2024-03-01;1;2242218.64;5572.6;0;0;2236646.04;243000000;243000000;0;243000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1215755.56;1215755.56;0;0;1108270.03;65034.39;0;0;0;0;0;0;0;8418.8;1181723.22
02.508.235/0001-14;2024-04-01;1;2283056.45;5370.72;0;0;2277685.73;243000000;243000000;0;243000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1216123.56;1215755.56;0;368;1210859.75;65034.39;0;0;0;0;0;0;0;8418.8;1284312.94
02.508.235/0001-14;2024-05-01;1;2192469.5;6010.79;0;0;2186458.71;243000000;243000000;0;243000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1233464.37;1215755.56;0;17708.81;1209557.85;65034.39;0;0;0;0;0;0;0;8418.8;1283011.04
02.508.235/0001-14;2024-06-01;1;2134168.3;5271.04;0;0;2128897.26;243000000;243000000;0;243000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1231302.54;1215755.56;0;15546.98;1109558.44;65034.39;0;0;0;0;0;0;0;8418.8;1183011.63
02.508.235/0001-14;2024-07-01;1;2173429.75;5553.16;0;0;2167876.59;243000000;243000000;0;243000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1279801.75;1267152.6;0;12649.15;1142756.38;65034.39;0;0;0;0;0;0;0;8418.8;1216209.57
02.508.235/0001-14;2024-08-01;1;2233621.19;5481.83;0;0;2228139.36;243000000;243000000;0;0;0;243000000;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1280880.93;1267152.6;0;13728.33;1179900;65034.39;0;0;0;0;0;0;0;8418.8;1253353.19
02.508.235/0001-14;2024-09-01;1;2226532.73;5268.56;0;0;2221264.17;243000000;243000000;0;0;0;243000000;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1306220.97;1267152.6;0;39068.37;1179900;65034.39;0;0;0;0;0;0;0;8418.8;1253353.19
02.508.235/0001-14;2024-10-01;1;2237530.13;5512.11;0;0;2232018.02;243000000;243000000;0;0;0;243000000;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1307320.36;1267152.6;0;40167.76;1179900;65034.39;0;0;0;0;0;0;0;48418.8;1293353.19
02.508.235/0001-14;2024-11-01;1;2245551.62;5820.24;0;0;2239731.38;243000000;243000000;0;0;0;243000000;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1312732.54;1267152.6;0;45579.94;1197000;65034.39;0;0;0;0;0;0;0;48418.8;1310453.19
03.251.720/0001-18;2024-01-01;1;12503244.33;12952.43;11691069.52;0;799222.38;251326465;251326465;11874693.88;203347778.98;36103992.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1442232.6;1174998.78;0;267233.82;0;15000;0;0;0;0;0;0;0;9028563.04;9043563.04
03.251.720/0001-18;2024-02-01;1;12364263.17;0;10776944.88;0;1587318.29;251326465;251326465;11874693.88;203347778.98;36103992.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1286386.71;1236105.42;0;50281.29;127354.84;97882.69;0;0;0;0;0;0;0;9167707.99;9392945.52
